"","no","ka"
"2784","2731","輻"
"2785","2732","輯"
"2786","2734","豹"
"2787","2735","賎"
"2788","2737","貰"
"2789","2739","賑"
"2790","2740","躓"
"2791","2741","蹄"
"2792","2743","蹟"
"2793","2744","跨"
"2794","2745","跪"
"2795","2746","醤"
"2796","2747","醍"
"2797","2749","醐"
"2798","2751","醇"
"2799","2753","麹"
"2800","2754","釦"
"2801","2755","銚"
"2802","2756","鋤"
"2803","2758","鏑"
"2804","2759","鋸"
"2805","2760","錐"
"2806","2762","鍬"
"2807","2763","鋲"
"2808","2764","錫"
"2809","2765","錨"
"2810","2766","釘"
"2811","2767","鑓"
"2812","2768","鋒"
"2813","2769","鎚"
"2814","2770","鉦"
"2815","2771","錆"
"2816","2772","鍾"
"2817","2773","鋏"
"2818","2774","閃"
"2819","2775","悶"
"2820","2776","閤"
"2821","2778","雫"
"2822","2779","霞"
"2823","2780","翰"
"2824","2781","斡"
"2825","2782","鞍"
"2826","2783","鞭"
"2827","2784","鞘"
"2828","2785","鞄"
"2829","2786","靭"
"2830","2787","鞠"
"2831","2789","顛"
"2832","2790","穎"
"2833","2793","頗"
"2834","2794","頌"
"2835","2796","頚"
"2836","2798","餐"
"2837","2799","饗"
"2838","2800","蝕"
"2839","2801","飴"
"2840","2803","駕"
"2841","2804","騨"
"2842","2805","馳"
"2843","2806","騙"
"2844","2807","馴"
"2845","2808","駁"
"2846","2809","駈"
"2847","2810","驢"
"2848","2811","鰻"
"2849","2812","鯛"
"2850","2813","鰯"
"2851","2814","鱒"
"2852","2815","鮭"
"2853","2816","鮪"
"2854","2817","鮎"
"2855","2818","鯵"
"2856","2819","鱈"
"2857","2820","鯖"
"2858","2821","鮫"
"2859","2822","鰹"
"2860","2823","鰍"
"2861","2824","鰐"
"2862","2825","鮒"
"2863","2826","鮨"
"2864","2827","鰭"
"2865","2828","鴎"
"2866","2829","鵬"
"2867","2830","鸚"
"2868","2831","鵡"
"2869","2832","鵜"
"2870","2833","鷺"
"2871","2834","鷲"
"2872","2835","鴨"
"2873","2836","鳶"
"2874","2837","梟"
"2875","2838","塵"
"2876","2840","麒"
"2877","2842","瞑"
"2878","2843","暝"
"2879","2844","坐"
"2880","2846","朔"
"2881","2848","曳"
"2882","2849","洩"
"2883","2850","彗"
"2884","2851","慧"
"2885","2852","嘉"
"2886","2853","兇"
"2887","2854","兜"
"2888","2856","欝"
"2889","2857","劫"
"2890","2859","歎"
"2891","2860","輿"
"2892","2861","巽"
"2893","2862","歪"
"2894","2863","翠"
"2895","2864","黛"
"2896","2865","鼎"
"2897","2866","鹵"
"2898","2867","鹸"
"2899","2868","虔"
"2900","2869","燕"
"2901","2870","嘗"
"2902","2871","殆"
"2903","2872","孟"
"2904","2873","牌"
"2905","2875","覗"
"2906","2876","彪"
"2907","2877","秦"
"2908","2878","雀"
"2909","2879","隼"
"2910","2880","耀"
"2911","2881","夷"
"2912","2883","嚢"
"2913","2885","暢"
"2914","2886","廻"
"2915","2888","欣"
"2916","2889","毅"
"2917","2890","斯"
"2918","2891","匙"
"2919","2892","匡"
"2920","2893","肇"
"2921","2894","麿"
"2922","2895","叢"
"2923","2896","肴"
"2924","2897","斐"
"2925","2898","卿"
"2926","2899","翫"
"2927","2900","於"
"2928","2901","套"
"2929","2902","叛"
"2930","2903","尖"
"2931","2904","壷"
"2932","2905","叡"
"2933","2906","酋"
"2934","2907","鴬"
"2935","2908","赫"
"2936","2909","臥"
"2937","2910","甥"
"2938","2911","瓢"
"2939","2912","琵"
"2940","2913","琶"
"2941","2914","叉"
"2942","2915","舜"
"2943","2916","畠"
"2944","2918","圃"
"2945","2919","丞"
"2946","2920","亮"
"2947","2921","胤"
"2948","2922","疏"
"2949","2923","膏"
"2950","2924","魁"
"2951","2925","馨"
"2952","2926","牒"
"2953","2927","瞥"
"2954","2929","睾"
"2955","2930","巫"
"2956","2931","敦"
"2957","2932","奎"
"2958","2933","翔"
"2959","2934","皓"
"2960","2935","黎"
"2961","2936","赳"
"2962","2937","已"
"2963","2938","棘"
"2964","2939","聚"
"2965","2940","甦"
"2966","2941","剪"
"2967","2942","躾"
"2968","2943","夥"
"2969","2944","鼾"
"2970","2945","祟"
"2971","2946","粁"
"2972","2947","糎"
"2973","2948","粍"
"2974","2949","噸"
"2975","2950","哩"
"2976","2951","浬"
"2977","2952","吋"
"2978","2953","呎"
"2979","2954","梵"
"2980","2955","陀"
"2981","2956","薩"
"2982","2957","菩"
"2983","2958","唖"
"2984","2959","迦"
"2985","2961","牟"
"2986","2962","珈"
"2987","2963","琲"
"2988","2964","檜"
"2989","2965","轡"
"2990","2966","淵"
"2991","2967","伍"
"2992","2968","什"
"2993","2969","萬"
"2994","2970","邁"
"2995","2971","逞"
"2996","2972","燈"
"2997","2973","裡"
"2998","2974","薗"
"2999","2975","鋪"
"3000","2976","嶋"
"3001","2977","峯"
"3002","2978","巌"
"3003","2979","埜"
"3004","2980","舘"
"3005","2981","龍"
"3006","2982","寵"
"3007","2983","聾"
"3008","2984","慾"
"3009","2985","亙"
"3010","2986","躯"
"3011","2987","嶽"
"3012","2988","國"
"3013","2989","脛"
"3014","2990","勁"
"3015","2992","祀"
"3016","2993","祓"
"3017","2994","躇"
"3018","2995","壽"
"3019","2996","躊"
"3020","2998","饅"
"3021","2999","嘔"
"3022","3000","鼈"
"3023","3001","亨"
"3024","3002","侑"
"3025","3003","梧"
"3026","3004","欽"
"3027","3005","煕"
"3028","3006","而"
"3029","3007","掟"
"3030","3028","籠"
